IdPago,Pago,Rfc,Factura,FormaPago,Mensaje,ReferenciaManual
3350,2.839999999999999857891452847979962825775146484375,N/E,null,null,Sin referencia,N/A
3351,4.20000000000000017763568394002504646778106689453125,N/E,null,null,Sin referencia,N/A
3352,17.719999999999998863131622783839702606201171875,N/E,null,null,Sin referencia,N/A
3353,1232.140000000000100044417195022106170654296875,N/E,null,null,Sin referencia,N/A
3354,1138.009999999999990905052982270717620849609375,N/E,null,null,Sin referencia,N/A
3355,543,N/E,null,null,Sin referencia,N/A
3356,3.37000000000000010658141036401502788066864013671875,N/E,null,null,Sin referencia,N/A
3357,6.95000000000000017763568394002504646778106689453125,N/E,null,null,Sin referencia,N/A
3358,14.550000000000000710542735760100185871124267578125,N/E,null,null,Sin referencia,N/A
3359,21.059999999999998721023075631819665431976318359375,N/E,null,null,Sin referencia,N/A
3360,1.1100000000000000976996261670137755572795867919921875,N/E,null,null,Sin referencia,N/A
3361,2.3300000000000000710542735760100185871124267578125,N/E,null,null,Sin referencia,N/A
3362,1345.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3363,954,N/E,null,null,Sin referencia,N/A
3364,16.300000000000000710542735760100185871124267578125,N/E,null,null,Sin referencia,N/A
3365,17.190000000000001278976924368180334568023681640625,N/E,null,null,Sin referencia,N/A
3366,2.609999999999999875655021241982467472553253173828125,N/E,null,null,Sin referencia,N/A
3367,2.75,N/E,null,null,Sin referencia,N/A
3368,278,N/E,null,null,Sin referencia,N/A
3369,269.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3370,3.45000000000000017763568394002504646778106689453125,N/E,null,null,Sin referencia,N/A
3371,4.75,N/E,null,null,Sin referencia,N/A
3372,0.5500000000000000444089209850062616169452667236328125,N/E,null,null,Sin referencia,N/A
3373,0.7600000000000000088817841970012523233890533447265625,N/E,null,null,Sin referencia,N/A
3374,343.990000000000009094947017729282379150390625,N/E,null,null,Sin referencia,N/A
3375,0.6999999999999999555910790149937383830547332763671875,N/E,null,null,Sin referencia,N/A
3376,4.4000000000000003552713678800500929355621337890625,N/E,null,null,Sin referencia,N/A
3377,1498,N/E,null,null,Sin referencia,N/A
3378,3.069999999999999840127884453977458178997039794921875,N/E,null,null,Sin referencia,N/A
3379,19.1700000000000017053025658242404460906982421875,N/E,null,null,Sin referencia,N/A
3380,1310,N/E,null,null,Sin referencia,N/A
3381,311,N/E,null,null,Sin referencia,N/A
3382,3.979999999999999982236431605997495353221893310546875,N/E,null,null,Sin referencia,N/A
3383,22.3900000000000005684341886080801486968994140625,N/E,null,null,Sin referencia,N/A
3384,0.64000000000000001332267629550187848508358001708984375,N/E,null,null,Sin referencia,N/A
